,Team,FTHG,FTAG,FTTG,RainyGames,Rainy_Wins,Percentage
0,Aachen,15,15,30,7.0,2.0,28.57
1,Augsburg,20,16,36,6.0,3.0,50.0
2,Bayern Munich,49,28,77,7.0,5.0,71.43
3,Bochum,23,18,41,8.0,2.0,25.0
4,Braunschweig,21,16,37,6.0,4.0,66.67
5,Cottbus,18,12,30,6.0,2.0,33.33
6,Dortmund,44,36,80,7.0,5.0,71.43
7,Dresden,30,20,50,7.0,3.0,42.86
8,Duisburg,23,19,42,9.0,1.0,11.11
9,Ein Frankfurt,38,38,76,6.0,2.0,33.33
10,Erzgebirge Aue,19,12,31,8.0,1.0,12.5
11,FC Koln,20,19,39,8.0,0.0,0.0
12,Fortuna Dusseldorf,35,29,64,8.0,2.0,25.0
13,Frankfurt FSV,20,23,43,8.0,0.0,0.0
14,Freiburg,24,21,45,6.0,1.0,16.67
15,Greuther Furth,46,27,73,9.0,4.0,44.44
16,Hamburg,19,16,35,7.0,1.0,14.29
17,Hannover,31,10,41,7.0,4.0,57.14
18,Hansa Rostock,20,14,34,10.0,1.0,10.0
19,Hertha,19,19,38,6.0,1.0,16.67
20,Hoffenheim,21,20,41,6.0,0.0,0.0
21,Ingolstadt,28,15,43,9.0,1.0,11.11
22,Kaiserslautern,12,12,24,7.0,0.0,0.0
23,Karlsruhe,23,11,34,11.0,4.0,36.36
24,Leverkusen,28,24,52,8.0,4.0,50.0
25,M'gladbach,29,20,49,7.0,5.0,71.43
26,Mainz,27,20,47,8.0,2.0,25.0
27,Munich 1860,35,27,62,12.0,8.0,66.67
28,Nurnberg,22,16,38,6.0,4.0,66.67
29,Paderborn,28,23,51,8.0,3.0,37.5
30,Schalke 04,47,27,74,7.0,3.0,42.86
31,St Pauli,36,23,59,9.0,7.0,77.78
32,Stuttgart,36,27,63,5.0,2.0,40.0
33,Union Berlin,30,25,55,9.0,4.0,44.44
34,Werder Bremen,31,18,49,6.0,1.0,16.67
35,Wolfsburg,29,18,47,8.0,4.0,50.0
