,Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Match_Winner,Weather,Match_Loser
0,1092,D1,2011,2012-03-31,Nurnberg,Bayern Munich,0,1,A,Bayern Munich,rain,Nurnberg
1,1189,D1,2011,2012-03-31,Augsburg,FC Koln,2,1,H,Augsburg,rain,FC Koln
2,1206,D1,2011,2012-03-31,Leverkusen,Freiburg,0,2,A,Freiburg,rain,Leverkusen
3,1215,D1,2011,2012-03-31,Kaiserslautern,Hamburg,0,1,A,Hamburg,rain,Kaiserslautern
4,1396,D2,2011,2012-03-31,Munich 1860,Hansa Rostock,0,1,A,Hansa Rostock,rain,Munich 1860
5,1420,D1,2011,2012-03-31,Werder Bremen,Mainz,0,3,A,Mainz,rain,Werder Bremen
6,1475,D1,2011,2012-03-31,Hertha,Wolfsburg,1,4,A,Wolfsburg,rain,Hertha
7,1524,D2,2011,2012-03-31,Erzgebirge Aue,Greuther Furth,1,1,D,Draw,rain,Draw
8,1093,D1,2011,2011-12-11,Stuttgart,Bayern Munich,1,2,A,Bayern Munich,partly-cloudy-day,Stuttgart
9,1233,D1,2011,2011-12-11,Dortmund,Kaiserslautern,1,1,D,Draw,partly-cloudy-day,Draw
10,1456,D2,2011,2011-12-11,Ingolstadt,St Pauli,1,0,H,Ingolstadt,partly-cloudy-day,St Pauli
11,1501,D2,2011,2011-12-11,Dresden,Cottbus,2,1,H,Dresden,partly-cloudy-day,Cottbus
12,1595,D2,2011,2011-12-11,Aachen,Erzgebirge Aue,1,1,D,Draw,partly-cloudy-day,Draw
13,1094,D1,2011,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,Bayern Munich,partly-cloudy-day,Wolfsburg
14,1113,D1,2011,2011-08-13,Hoffenheim,Dortmund,1,0,H,Hoffenheim,partly-cloudy-day,Dortmund
15,1180,D1,2011,2011-08-13,Schalke 04,FC Koln,5,1,H,Schalke 04,partly-cloudy-day,FC Koln
16,1325,D1,2011,2011-08-13,M'gladbach,Stuttgart,1,1,D,Draw,partly-cloudy-day,Draw
17,1371,D1,2011,2011-08-13,Nurnberg,Hannover,1,2,A,Hannover,partly-cloudy-day,Nurnberg
18,1405,D1,2011,2011-08-13,Hamburg,Hertha,2,2,D,Draw,partly-cloudy-day,Draw
19,1417,D1,2011,2011-08-13,Freiburg,Mainz,1,2,A,Mainz,partly-cloudy-day,Freiburg
20,1507,D2,2011,2011-08-13,Aachen,Cottbus,0,2,A,Cottbus,partly-cloudy-day,Aachen
21,1517,D2,2011,2011-08-13,Paderborn,Greuther Furth,0,1,A,Greuther Furth,partly-cloudy-day,Paderborn
22,1095,D1,2011,2011-11-27,Mainz,Bayern Munich,3,2,H,Mainz,wind,Bayern Munich
23,1134,D2,2011,2011-11-27,St Pauli,Dresden,3,1,H,St Pauli,wind,Dresden
24,1329,D1,2011,2011-11-27,Werder Bremen,Stuttgart,2,0,H,Werder Bremen,wind,Stuttgart
25,1347,D2,2011,2011-11-27,Braunschweig,Bochum,4,0,H,Braunschweig,wind,Bochum
26,1671,D2,2011,2011-11-27,Cottbus,Ingolstadt,0,0,D,Draw,wind,Draw
27,1096,D1,2011,2012-02-18,Freiburg,Bayern Munich,0,0,D,Draw,partly-cloudy-day,Draw
28,1111,D1,2011,2012-02-18,Hertha,Dortmund,0,1,A,Dortmund,partly-cloudy-day,Hertha
29,1185,D1,2011,2012-02-18,Nurnberg,FC Koln,2,1,H,Nurnberg,partly-cloudy-day,FC Koln
30,1341,D1,2011,2012-02-18,Hamburg,Werder Bremen,1,3,A,Werder Bremen,partly-cloudy-day,Hamburg
31,1487,D1,2011,2012-02-18,Kaiserslautern,M'gladbach,1,2,A,M'gladbach,partly-cloudy-day,Kaiserslautern
32,1560,D2,2011,2012-02-18,Bochum,Union Berlin,4,2,H,Bochum,partly-cloudy-day,Union Berlin
33,1631,D1,2011,2012-02-18,Leverkusen,Augsburg,4,1,H,Leverkusen,partly-cloudy-day,Augsburg
34,1664,D2,2011,2012-02-18,Ein Frankfurt,Frankfurt FSV,6,1,H,Ein Frankfurt,partly-cloudy-day,Frankfurt FSV
35,1097,D1,2011,2012-01-20,M'gladbach,Bayern Munich,3,1,H,M'gladbach,rain,Bayern Munich
